X,Y,OBJECTID,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,LIGHT_CONDITION,LONGITUDE,LATITUDE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,Suburb,Year,Month,Month_name
144.97764982034911,-37.80306150144099,3465981,28/3/2018,18.44.00,Yes,Collision with vehicle,Wednesday,RIGHT THROUGH,Day,144.97765,-37.803059999999995,YARRA,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA,METROPOLITAN NORTH WEST REGION,FITZROY,2018,3,March
144.97138060577626,-37.77590656933828,3465985,23/3/2018,18.30.00,Yes,Collision with vehicle,Friday,LEFT TURN SIDESWIPE,Dusk/Dawn,144.97138,-37.775909999999996,MORELAND,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MORELAND,METROPOLITAN NORTH WEST REGION,BRUNSWICK EAST,2018,3,March
145.1359402824846,-37.930650440177146,3465993,4/4/2018,17.40.00,No,Collision with vehicle,Wednesday,RIGHT THROUGH,Day,145.13593999999995,-37.93065,KINGSTON,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,"MONASH,KINGSTON",METROPOLITAN SOUTH EAST REGION,CLAYTON,2018,4,April
144.36311567414347,-38.14828839215912,3465996,4/4/2018,14.45.00,No,Collision with vehicle,Tuesday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,Day,144.36312,-38.14829,GEELONG,SOUTH WESTERN REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,GEELONG,2018,4,April
145.04205317890742,-37.9637385082446,3465998,4/4/2018,17.40.00,No,Collision with vehicle,Wednesday,RIGHT THROUGH,Dusk/Dawn,145.04205,-37.96374,BAYSIDE,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,BAYSIDE,METROPOLITAN SOUTH EAST REGION,CHELTENHAM,2018,4,April
144.96060417752628,-37.77611653255999,3466013,11/4/2018,07.30.00,No,Collision with vehicle,Tuesday,OTHER MANOEUVRING NOT INCLUDED IN DCAs 140-148,Day,144.9606,-37.77612,MORELAND,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,1,0,0,0,MELB_URBAN,MELB_URBAN,MORELAND,METROPOLITAN NORTH WEST REGION,BRUNSWICK,2018,4,April
145.0100601002816,-37.86770949186664,3466029,29/3/2018,09.50.00,No,Collision with vehicle,Thursday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,Day,145.01006,-37.867709999999995,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,CAULFIELD NORTH,2018,3,March
144.95625225289967,-37.803785018875686,3466033,29/3/2018,14.15.00,No,Collision with vehicle,Thursday,RIGHT THROUGH,Day,144.95625,-37.80379,MELBOURNE,METROPOLITAN NORTH WEST REGION,5,1,0,1,0,4,0,5,1,3,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,NORTH MELBOURNE,2018,3,March
144.99565592127837,-37.839304374466685,3466044,5/4/2018,07.35.00,No,Collision with vehicle,Thursday,LANE CHANGE RIGHT (NOT OVERTAKING),Day,144.99566000000004,-37.8393,STONNINGTON,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,STONNINGTON,METROPOLITAN SOUTH EAST REGION,SOUTH YARRA,2018,4,April
144.97330979464647,-37.780809982497296,3466052,3/4/2018,17.45.00,No,Collision with vehicle,Tuesday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,Day,144.97331,-37.780809999999995,YARRA,METROPOLITAN NORTH WEST REGION,3,1,0,0,1,2,0,3,1,1,1,0,0,0,0,0,0,0,0,1,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA,METROPOLITAN NORTH WEST REGION,CARLTON NORTH,2018,4,April
144.98772926332143,-37.799316983172176,3466062,11/4/2018,14.47.00,No,Collision with vehicle,Wednesday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,Day,144.98773,-37.79932,YARRA,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA,METROPOLITAN NORTH WEST REGION,COLLINGWOOD,2018,4,April
145.14910023470483,-37.850203241716684,3466064,10/4/2018,22.01.00,Yes,Collision with vehicle,Tuesday,OTHER SAME DIRECTION-MANOUEVRES NOT INCLUDED IN DCAs 130-137,Dark Street lights on,145.1491,-37.8502,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,No,0,2,0,0,0,0,MELB_URBAN,MELB_URBAN,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,BURWOOD EAST,2018,4,April
144.95755835210937,-37.8203638562475,3466084,29/3/2018,18.15.00,Yes,Collision with vehicle,Thursday,LEFT TURN SIDESWIPE,Dusk/Dawn,144.95756,-37.82036,MELBOURNE,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,No,0,2,0,1,0,0,MELBOURNE_CBD,"MELBOURNE_CBD,MELB_URBAN",MELBOURNE,METROPOLITAN NORTH WEST REGION,MELBOURNE,2018,3,March
145.09334677888677,-37.71442293702021,3466085,29/3/2018,17.40.00,No,Collision with vehicle,Thursday,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),Day,145.09335,-37.714420000000004,BANYULE,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,No,0,2,0,0,0,0,MELB_URBAN,MELB_URBAN,BANYULE,METROPOLITAN NORTH WEST REGION,GREENSBOROUGH,2018,3,March
144.96556046381417,-37.851495670575645,3466112,11/4/2018,17.04.00,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),Dusk/Dawn,144.96556,-37.8515,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,MIDDLE PARK,2018,4,April
144.2516777122402,-36.7783483836605,3466113,11/4/2018,18.57.00,Yes,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),Dark Street lights on,144.25168,-36.77835,BENDIGO,NORTHERN REGION,2,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,No,0,2,0,0,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,BENDIGO,NORTHERN REGION,GOLDEN SQUARE,2018,4,April
144.89908040494828,-37.790137867714186,3466139,27/2/2018,06.05.00,No,Collision with vehicle,Tuesday,OTHER OVERTAKING MANOEUVRES NOT INCLUDED IN DCAs 150-154,Dark Street lights unknown,144.89908,-37.79014,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,FOOTSCRAY,2018,2,February
145.11325430698474,-37.859682378101844,3466154,5/4/2018,17.45.00,No,Collision with vehicle,Thursday,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,Day,145.11325,-37.85968,MONASH,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MONASH,METROPOLITAN SOUTH EAST REGION,BURWOOD,2018,4,April
145.22130149716958,-37.98218986724048,3466158,11/4/2018,15.25.00,No,Collision with vehicle,Wednesday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,Day,145.2213,-37.98219,DANDENONG,METROPOLITAN SOUTH EAST REGION,2,2,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,DANDENONG,METROPOLITAN SOUTH EAST REGION,DANDENONG,2018,4,April
